_id;link;name;source;time
5e9c6face07c0197bc24df4f;https://yandex.ru/news/story/Putin_pozdravil_rossiyan_s_Paskhoj--68baa54a9ea90b6f2cf436265ba572b6?lr=213&lang=ru&stid=Emgp4PqDmR-xZk-cjyLd&persistent_id=94903261&rubric=politics&from=index;Путин поздравил россиян с Пасхой;РИА Новости;2020-04-19 16:47:00
5e9c6face07c0197bc24df50;https://yandex.ru/news/story/Pilot_rossijskogo_MiG-31_snyal_na_video_vstrechu_s_istrebitelem_NATO--ff1db85f463e94b334056bce66fe276f?lr=213&lang=ru&stid=jYk2AtqA4qOvoE3JGnkg&persistent_id=94923136&rubric=politics&from=index;Пилот российского МиГ-31 снял на видео встречу с истребителем НАТО;РИА Новости;2020-04-19 17:50:00
5e9c6face07c0197bc24df51;https://yandex.ru/news/story/Murashko_predlozhil_podumat_o_modernizacii_sistemy_zdravookhraneniya--36d3fd32b29eb1513640839ec003fe50?lr=213&lang=ru&stid=ihnKGHZZLzAX9Ao9yY1O&persistent_id=94932346&rubric=politics&from=index;Мурашко предложил подумать о модернизации системы здравоохранения;РИА Новости;2020-04-19 18:00:00
5e9c6face07c0197bc24df52;https://yandex.ru/news/story/Amerikanskaya_pressa_ocenila_voennuyu_moshh_rossijskikh_raket_Cirkon--09c8639ed4b0ffb684c1ee47058abaf3?lr=213&lang=ru&stid=xXcTVs1v1C8YfhIwIVO6&persistent_id=94810402&rubric=politics&from=index;Американская пресса оценила военную мощь российских ракет «Циркон»;Газета.Ru;2020-04-19 17:46:00
5e9c6face07c0197bc24df53;https://yandex.ru/news/story/V_Moskve_prodlili_dejstvie_propusknogo_rezhima--a501a7e59786f8d46e4654077269c935?lr=213&lang=ru&stid=3Xaxkq2v93ZW01kTcYNy&persistent_id=94921454&rubric=society&from=index;В Москве продлили действие пропускного режима;РИА Новости;2020-04-19 13:21:00
5e9c6face07c0197bc24df54;https://yandex.ru/news/story/Rossijskaya_chinovnica_otchitala_medikov_za_nezhelanie_shit_sebe_bakhily--af79a8de1f13cdc0ca2f2919a1f73429?lr=213&lang=ru&stid=4Z6rMS3WwWz5iY0nBB0J&persistent_id=94886246&rubric=society&from=index;Российская чиновница отчитала медиков за нежелание шить себе бахилы;Lenta.ru;2020-04-19 17:49:00
5e9c6face07c0197bc24df55;https://yandex.ru/news/story/Desyatki_deputatov_prizvali_vyplatit_vsem_rossiyanam_po_25_tysyach_rublej--dfd9e89dc73e4009d849f88ec27f7150?lr=213&lang=ru&stid=qedYEKUrfCtKHVey1Vgg&persistent_id=94322055&rubric=society&from=index;Десятки депутатов призвали выплатить всем россиянам по 25 тысяч рублей;РИА Новости;2020-04-19 17:00:00
5e9c6face07c0197bc24df56;https://yandex.ru/news/story/Nazvany_sroki_vypuska_avtomobilej_Aurus--201f91a1dbce1aeaa2b6d1686390972f?lr=213&lang=ru&stid=A5SIEveBBEwckq3OKPKw&persistent_id=94927984&rubric=society&from=index;Названы сроки выпуска автомобилей Aurus;Вести.Ru;2020-04-19 17:54:00
5e9c6face07c0197bc24df57;https://yandex.ru/news/story/V_Kuzbasse_na_chetyryokh_territoriyakh_vvedyon_obyazatelnyj_masochnyj_rezhim--04f3afd979f350ede64098b950008c39?lr=213&lang=ru&stid=yqgAo7p75R3x6WjfNhEn&persistent_id=94924634&rubric=society&from=index;В Кузбассе на четырёх территориях введён обязательный масочный режим;REGNUM;2020-04-19 17:32:00
5e9c6face07c0197bc24df58;https://yandex.ru/news/story/WP_sprognozirovala_rekordnye_dolgi_SSHA_iz-za_ehpidemii_koronavirusa--b1bc376b390f2aafee3c4277cf9a05c7?lr=213&lang=ru&stid=SF0ihKeGBqRKMHIgtcso&persistent_id=94895111&rubric=business&from=index;WP спрогнозировала рекордные долги США из-за эпидемии коронавируса;РБК;2020-04-19 17:36:00
5e9c6face07c0197bc24df59;https://yandex.ru/news/story/Kostin_prizval_CB_vlit_deshevye_dengi_v_ehkonomiku_po_specprogrammam--31598adea36a8025ab6d4a8f8f8c286e?lr=213&lang=ru&persistent_id=94930176&rubric=business&from=index;Костин призвал ЦБ влить «дешевые деньги» в экономику по спецпрограммам;РБК;2020-04-19 17:00:00
5e9c6face07c0197bc24df5a;https://yandex.ru/news/story/Glava_Centrobanka_ocenila_ideyu_razdachi_deneg_naseleniyu--b22bbb071cfe36abfa946423574ddd5b?lr=213&lang=ru&stid=uFgDH6iUUNAI-HzNiN3X&persistent_id=94323572&rubric=business&from=index;Глава Центробанка оценила идею раздачи денег населению;РИА Новости;2020-04-19 10:08:00
